Date,Open,High,Low,Close,Adj Close,Volume
2021-02-03,16.790001,17.809999,16.559999,17.590000,17.571287,1586200
2021-02-04,17.590000,18.049999,17.040001,17.799999,17.781063,1675400
2021-02-05,18.190001,18.469999,17.730000,18.170000,18.150671,1201100
2021-02-08,18.500000,19.799999,18.500000,19.629999,19.609116,1646000
2021-02-09,18.830000,20.200001,18.650000,19.240000,19.219532,2181000
2021-02-10,19.629999,20.049999,18.750000,19.570000,19.549181,1541400
2021-02-11,19.559999,19.680000,18.650000,19.240000,19.219532,1523200
2021-02-12,18.980000,20.020000,18.959999,19.840000,19.818893,1654700
2021-02-16,20.480000,20.750000,19.920000,20.070000,20.048649,1413800
2021-02-17,20.049999,20.400000,19.549999,20.230000,20.208479,1253700
2021-02-18,20.030001,20.340000,18.610001,18.629999,18.610180,1532800
2021-02-19,18.830000,19.750000,18.650000,19.100000,19.079681,1247300
2021-02-22,19.520000,21.020000,19.400000,20.260000,20.238447,1534100
2021-02-23,20.340000,21.610001,18.860001,21.389999,21.367245,2978400
2021-02-24,19.309999,21.469999,19.250000,21.290001,21.267353,3687600
2021-02-25,21.650000,21.870001,19.809999,20.160000,20.138554,2001600
2021-02-26,19.980000,21.299999,19.330000,20.889999,20.867777,2352400
2021-03-01,21.420000,22.080000,21.080000,22.040001,22.016554,2361400
2021-03-02,22.270000,22.770000,21.410000,21.700001,21.676916,1542800
2021-03-03,22.340000,23.920000,22.250000,23.090000,23.065437,2135500
2021-03-04,23.219999,24.719999,23.049999,24.520000,24.493916,2936100
2021-03-05,25.670000,27.290001,24.860001,26.690001,26.661608,3828000
2021-03-08,26.959999,27.430000,24.280001,25.170000,25.143223,2681800
2021-03-09,24.600000,25.530001,24.059999,24.600000,24.573830,1965800
2021-03-10,24.750000,25.850000,24.690001,25.469999,25.442904,2088000
2021-03-11,25.760000,26.820000,25.750000,26.450001,26.421864,2026700
2021-03-12,26.610001,26.709999,25.450001,25.690001,25.662670,1872400
2021-03-15,25.559999,26.790001,25.180000,26.100000,26.072235,2006800
2021-03-16,25.299999,25.740000,24.530001,25.299999,25.273085,1378600
2021-03-17,25.100000,25.709999,24.570000,25.400000,25.372978,1265300
2021-03-18,24.910000,25.020000,22.260000,22.520000,22.496042,2650600
2021-03-19,22.570000,24.389999,22.510000,24.360001,24.334085,2627000
2021-03-22,24.150000,24.150000,22.930000,23.500000,23.475000,2423200
2021-03-23,22.360001,23.190001,21.830000,22.070000,22.070000,2037200
2021-03-24,23.660000,24.340000,22.600000,23.299999,23.299999,2049000
2021-03-25,22.469999,23.650000,21.549999,23.370001,23.370001,2025300
2021-03-26,24.370001,24.580000,23.620001,24.330000,24.330000,1621300
2021-03-29,23.980000,24.690001,23.219999,23.230000,23.230000,1906600
2021-03-30,22.850000,23.770000,22.330000,23.330000,23.330000,1415600
2021-03-31,23.360001,23.690001,23.040001,23.450001,23.450001,1444100
2021-04-01,23.870001,25.700001,23.730000,25.680000,25.680000,2105400
2021-04-05,25.430000,25.430000,23.209999,23.690001,23.690001,2090700
2021-04-06,24.100000,25.670000,23.879999,24.160000,24.160000,1511600
2021-04-07,24.120001,24.920000,23.760000,24.559999,24.559999,1325500
2021-04-08,24.200001,24.459999,23.450001,24.320000,24.320000,1105700
2021-04-09,24.070000,24.600000,23.240000,23.459999,23.459999,1254800
2021-04-12,23.750000,24.430000,22.900000,22.920000,22.920000,1452200
2021-04-13,22.969999,23.320000,22.660000,23.030001,23.030001,974100
2021-04-14,23.480000,25.639999,23.480000,24.900000,24.900000,1741900
2021-04-15,24.950001,24.950001,24.190001,24.780001,24.780001,1531000
2021-04-16,25.030001,25.100000,23.900000,23.980000,23.980000,1202900
2021-04-19,24.030001,24.600000,23.629999,24.430000,24.430000,1268100
2021-04-20,24.309999,24.330000,22.150000,22.799999,22.799999,1762400
2021-04-21,22.160000,23.280001,21.799999,23.000000,23.000000,1268900
2021-04-22,23.190001,23.700001,22.389999,23.500000,23.500000,1758600
2021-04-23,23.500000,24.280001,23.350000,23.850000,23.850000,1696600
2021-04-26,23.730000,24.920000,23.730000,24.709999,24.709999,1273400
2021-04-27,24.980000,25.549999,24.270000,24.889999,24.889999,1109300
2021-04-28,25.030001,26.180000,24.910000,25.700001,25.700001,1570800
2021-04-29,26.250000,28.490000,26.100000,27.270000,27.270000,2681100
2021-04-30,26.620001,27.860001,26.219999,26.309999,26.309999,2060000
